field_1,s_id,nzsegment,nzreach,nztme,nztmn,long,lat,period,np_id,np_id_name,np_id_units,q_5,q_20,q_25,median,q_75,q_80,q_95,g_540,g_260,ann_max,nof_swim,nof_toxicity,anzg_meet,mci_band,sof,climate,src_of_flw,dominant_landcover,n_values,n_rightcensored,n_leftcensored,dl,al,imputed_lower,imputed_upper,month_ok,quarter_ok,year_ok,c_q_5,c_q_20,c_q_25,c_median,c_q_75,c_q_80,c_q_95,c_ann_max,sid,river,location,sitename,siteid,rcid,councilsiteid,councilsit,landcover,nzmge,nzmgn,anz_dgv_q80,anz_dgv_q20
52,EBOP-00145,4108212,4019998,1931527.89901241,5748749.83020623,176.793418514741,-38.348071053865,2013-2017,MCI,Macroinvertebrate community index,Index,97.77778,104.48889,107.84445,113.1429,114.69885,115.3144,116.5455,NA,NA,116.5455,NA,NA,NA,Good,CW/H,CW,H,Pastoral,5,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,EBOP-039,Hikurangi Stream,NA,Hikurangi,39,EBOP,JH152875,NA,P,2841596,6310241,NA,NA
53,EBOP-00146,4111001,4020775,1928543.71002584,5745411.69020531,176.760896304221,-38.3791896085002,2013-2017,MCI,Macroinvertebrate community index,Index,93.81818,99.85354,102.87122,111.0526,117.85452,118.43635,119.6,NA,NA,119.6,NA,NA,NA,Good,CW/L,CW,L,Pastoral,5,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,EBOP-040,Haumea Stream,NA,Haumea,40,EBOP,IH854541,NA,P,2838611,6306910,NA,NA
54,EBOP-00147,4117896,4022556,1929374.07911826,5736337.01829718,176.774632993616,-38.4604900502687,2013-2017,MCI,Macroinvertebrate community index,Index,113.3333,125.614,131.75435,142,144.67962,145.14875,146.087,NA,NA,146.087,NA,NA,NA,Excellent,CW/H,CW,H,Native,5,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,EBOP-041,Mangamate Stream,NA,Mangamate,41,EBOP,IG937633,NA,IF,2839430,6297844,NA,NA
55,EBOP-00148,4075470,4006434,1878598.80987659,5793832.87117967,176.171101842614,-37.9604062940693,2013-2017,MCI,Macroinvertebrate community index,Index,103.07692,104.15385,104.87179,114.91228,133.24561,137.2807,143.33333,NA,NA,143.3333333,NA,NA,NA,Good,CX/H,CX,H,Native,4,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,EBOP-042,Ohaupara Stream,NA,Ohaupara,42,EBOP,DM860383,NA,IF,2788775,6355355,NA,NA
1,ARC-00001,2038450,2005866,1735632.61510524,5916370.53089785,174.522109634099,-36.8889007708927,2013-2017,MCI,Macroinvertebrate community index,Index,96.12903,97.51254,98.43489,102.15608,104.64286,105.07143,105.71429,NA,NA,105.7142857,NA,NA,NA,Good,WW/L,WW,L,Native,4,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,ARC-FWM048,Cascade Stream,NA,Cascasde LTB,FWM048,AC,Cascades LTB,NA,IF,2646058,6478111,NA,NA
56,EBOP-00149,4081206,4008644,1926075.8665002,5785010.75830659,176.714537172704,-38.0239571839826,2013-2017,MCI,Macroinvertebrate community index,Index,97.33333,102.91666,105.70833,109.8824,111.82353,113.64705,117.2941,NA,NA,117.2941,NA,NA,NA,Good,WW/L,WW,L,Pastoral,5,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,EBOP-043,Mangaone Stream,NA,Mangaone,43,EBOP,IL607501,NA,IF,2836198,6346471,NA,NA
2,ARC-00003,2036631,2004945,1739214.98481009,5928818.52126498,174.560018740332,-36.7762061239659,2013-2017,MCI,Macroinvertebrate community index,Index,66.76471,67.96606,68.76697,71.03679,72.54872,73.04648,73.7931,NA,NA,73.7931,NA,NA,NA,Poor,WW/L,WW,L,Pastoral,4,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,ARC-FWM021,Kumeu River,unnamed tributary,Kumeu @ Weza,FWM021,AC,Kumeu @ Weza,NA,P,2649666,6490554,NA,NA
57,EBOP-00150,4085215,4010870,1924387.86109314,5778213.40010941,176.698424437672,-38.085698288239,2013-2017,MCI,Macroinvertebrate community index,Index,101.8571,108.73625,112.17582,116.3158,121.70835,123.6389,127.5,NA,NA,127.5,NA,NA,NA,Good,WW/L,WW,L,Native,5,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,EBOP-044,Ruraranga Stream,NA,Ruraranga,44,EBOP,IK438821,NA,IF,2834502,6339683,NA,NA
58,EBOP-00151,4085257,4010901,1923598.51311671,5778601.68341384,176.689266381904,-38.0824887785298,2013-2017,MCI,Macroinvertebrate community index,Index,115.2727,116.25088,116.903,118.6833,119.41665,119.64999,120,NA,NA,120,NA,NA,NA,Good,WW/L,WW,L,Native,4,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,EBOP-045,Ruraranga Stream,NA,Ruraranga,45,EBOP,IK358855,NA,IF,2833714,6340072,NA,NA
3,ARC-00008,2031444,2001381,1753603.21142588,5976420.59952069,174.711696842688,-36.345038592233,2013-2017,MCI,Macroinvertebrate community index,Index,78.18182,80.60227,82.21591,86.81342,87.55939,87.63241,87.74194,NA,NA,87.74194,NA,NA,NA,Fair,WW/L,WW,L,Pastoral,4,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,ARC-FWM031,Matakana River,Matakana LTB,Matakana LTB,FWM031,AC,Matakana LTB,NA,P,2664159,6538133,NA,NA
